eur_05;75e1e677dc
eur_10;5d01f7a1cb
eur_15;ce0eaca995
eur_20;8dc4293aa0
eur_25;1854c7b819
eur_30;923d7ede6c
eur_35;e5424772b3
eur_40;b5c5aa4d59
eur_45;cde69d0ccb
eur_50;af1d5874dc
eur_55;a56a78c942
eur_60;f8b9648f92
eur_65;f33f779d3d
eur_70;14cd14e5a2
eur_75;ee71783ec2
eur_80;18e9905550
eur_85;ac562d8dc8
eur_90;d73bd73710
eur_95;1be33261ef
usd_05;fe1e2ab480
usd_10;66541a2918
usd_15;0ce44c646b
usd_20;fb1ea52827
usd_25;a7df740c85
usd_30;f94a8731e8
usd_35;67eca90a18
usd_40;1e4be0f0df
usd_45;f851cc3c46
usd_50;b86f28f079
usd_55;44cc68d248
usd_60;f05aed0df6
usd_65;c8d556effc
usd_70;e976dd7c3f
usd_75;ecc7c0c56d
usd_80;76ccb92cf1
usd_85;181a11fae7
usd_90;7f505b6832
usd_95;5e16f63083
czk_05;908f304516
czk_10;d35dbdbc18
czk_15;de4fc76b29
czk_20;55fd0ff9a2
czk_25;f063c69d9f
czk_30;7a324b10e2
czk_35;54e2be4a82
czk_40;57415871b4
czk_45;1c77353d35
czk_50;7468de1d7e
czk_55;c0e5f057ad
czk_60;756a85ff20
czk_65;9ee3ab5ca6
czk_70;d3af94a7f3
czk_75;c008ef4e01
czk_80;932037f304
czk_85;26c0e93c8a
czk_90;f35daa6308
czk_95;31d4f26d81
